"term","document","count"
"fashion","70",0.0861403305280866
"runway","70",0.0861403305280866
"donation","2",0.0858332550277792
"donation","18",0.0858332550277792
"donation","33",0.0858332550277792
"donation","49",0.0858332550277792
"donation","65",0.0858332550277792
"donation","81",0.0858332550277792
"donation","91",0.0858332550277792
"donation","97",0.0858332550277792
"donation","127",0.0858332550277792
"donation","143",0.0858332550277792
"donation","159",0.0858332550277792
"responsible","44",0.0855301748176939
"squarespace","13",0.0848919199407231
"spark","140",0.0848552448343797
"kai","39",0.0848099779330583
"google","3",0.0847202441178151
"google","19",0.0847202441178151
"google","47",0.0847202441178151
"google","50",0.0847202441178151
"google","66",0.0847202441178151
"google","82",0.0847202441178151
"google","98",0.0847202441178151
"google","114",0.0847202441178151
"google","131",0.0847202441178151
"google","147",0.0847202441178151
"goldman","5",0.0846686798422415
"relevant","44",0.0836897470347699
"investment","117",0.0824330645771957
"mindset","139",0.0821029622712645
"claims","141",0.081875816844421
"must","140",0.0818490037612199
"dashboard","124",0.0810503601908636
"remote","124",0.0810503601908636
"scripts","124",0.0810503601908636
"studio","124",0.0810503601908636
"compliance","73",0.080024406264397
"equivalent�","76",0.0800210720752717
"adidas","155",0.0795861749444279
"air","155",0.0795861749444279
"attitudebonus","155",0.0795861749444279
"businessrequirements2","155",0.0795861749444279
"creation","155",0.0795861749444279
"domo","155",0.0795861749444279
"estimatorsexperience","155",0.0795861749444279
"experiencestartup","155",0.0795861749444279
"goods","155",0.0795861749444279
"goodswe","155",0.0795861749444279
"jordan","155",0.0795861749444279
"mssql","155",0.0795861749444279
"nike","155",0.0795861749444279
"pointsprior","155",0.0795861749444279
"rare","155",0.0795861749444279
"role2","155",0.0795861749444279
"rsolid","155",0.0795861749444279
"sneaker","155",0.0795861749444279
"sought","155",0.0795861749444279
"sql1","155",0.0795861749444279
"stadium","155",0.0795861749444279
"stocking","155",0.0795861749444279
"streetwear","155",0.0795861749444279
"supply","155",0.0795861749444279
"supreme","155",0.0795861749444279
"toolscando","155",0.0795861749444279
"warehouses","155",0.0795861749444279
"global","53",0.0793736881605779
"moda","138",0.0792221565775359
"moda","149",0.0792221565775359
"tmbo","120",0.0791559794041877
"year","154",0.0790857732084772
"hadoop","140",0.0789859725077193
"fanduel","61",0.0783093913891696
"given","2",0.0781016260628835
"given","18",0.0781016260628835
"given","33",0.0781016260628835
"given","49",0.0781016260628835
"given","65",0.0781016260628835
"given","81",0.0781016260628835
"given","91",0.0781016260628835
"given","97",0.0781016260628835
"given","127",0.0781016260628835
"given","143",0.0781016260628835
"given","159",0.0781016260628835
"subscription","24",0.0777286241174676
"pivotal","55",0.0772851845340753
"publicly","85",0.0770966840839922
"similar","155",0.0764037646267339
"queries","22",0.0763358778625954
"language","140",0.0762531249399036
"proposal","38",0.0750966984091012
"media","26",0.0749381269434229
"campaigns","102",0.0747135519886466
"rakuten","102",0.0747135519886466
"portfolio","40",0.0736599044275068
"environmenta","124",0.0735508409508488
"point","124",0.0735508409508488
"server","124",0.0735508409508488
"digital","6",0.0730899268045229
"healthcare","57",0.0715553715130847
"sql","124",0.0713431157602295
"sachs","5",0.0705572332018679
"recommender","24",0.070536462223355
"reach","2",0.0700445131876678
"reach","18",0.0700445131876678
"reach","33",0.0700445131876678
"reach","49",0.0700445131876678
"reach","65",0.0700445131876678
"reach","81",0.0700445131876678
"reach","91",0.0700445131876678
"reach","97",0.0700445131876678
"reach","127",0.0700445131876678
"reach","143",0.0700445131876678
"reach","159",0.0700445131876678
"smart","134",0.0699933825244924
"custora","103",0.0697326485227368
"august","154",0.0697326485227368
"authors","154",0.0697326485227368
"book","154",0.0697326485227368
"businesshelp","154",0.0697326485227368
"collegeapplicants","154",0.0697326485227368
"detailoriented","154",0.0697326485227368
"entering","154",0.0697326485227368
"grad","154",0.0697326485227368
"graduates","154",0.0697326485227368
"juggle","154",0.0697326485227368
"june","154",0.0697326485227368
"latin","154",0.0697326485227368
"letterharpercollins","154",0.0697326485227368
"marketassist","154",0.0697326485227368
"opportunitiesqualificationsapplicants","154",0.0697326485227368
"organizedability","154",0.0697326485227368
"preferredmust","154",0.0697326485227368
"proficient","154",0.0697326485227368
"projectsan","154",0.0697326485227368
"publishingapplications","154",0.0697326485227368
"scalethis","154",0.0697326485227368
"sizing","154",0.0697326485227368
"skillsis","154",0.0697326485227368
"spanish","154",0.0697326485227368
"suitestrong","154",0.0697326485227368
"templates","154",0.0697326485227368
"toolcompetitor","154",0.0697326485227368
"weeksresponsibilitiessupport","154",0.0697326485227368
"open","88",0.0694444444444444
"public","85",0.0690282218763999
"quartz","26",0.0688582579456492
"mortgage","152",0.068643075889569
"fuse","135",0.0685894903502329
"banking","43",0.0684862495542102
"nba","120",0.0683451685933769
"write","124",0.0682298473703508
"equityzen","30",0.0679529289548711
"googles","8",0.0676142042233942
"dont","61",0.0676142042233942
"industrial","135",0.0671775830698619
"safety","135",0.0671775830698619
"wellbeing","85",0.0669688545264088
"exceptional","108",0.0669535773027026
"programming","140",0.0664169850135068
"komodo","57",0.0663618860563809
"dataminr","69",0.0660828720719933
"financial","73",0.0659882808292339
"advertising","29",0.0652709374385025
"college","154",0.065048333319597
"chase","36",0.0649394952983358
"actuarial","38",0.0648402881526909
